INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
F  I  N  C  A      EL      C  A  S  T  I  LL  O;;;;;;;;;;;
Inventario Inicial;3;0;0;1;2;0;0;1;0;2;9
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;0;0;0;0;0;0;0;0;0;0;0
Entradas;0;0;0;0;0;0;0;0;0;0;0
Ventas;0;0;0;0;0;0;0;0;0;0;0
Muertes;0;0;0;0;0;0;0;0;0;0;0
Saladas;0;0;0;0;0;0;0;0;0;0;0
Inventario Final;3;0;0;1;2;0;0;1;0;2;9
;;;;;;;;;;;
INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
F  I  N  C  A      LAS      C  U  C  H  I  LL  A  S;;;;;;;;;;;
Inventario Inicial;64;12;29;22;42;43;0;5;1;2;220
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;0;0;0;3;1;0;0;0;0;0;4
Entradas;4;0;0;0;0;0;0;0;0;0;4
Ventas;0;0;0;0;0;0;0;0;0;0;0
Muertes;0;0;0;0;0;0;0;0;0;0;0
Saladas;0;4;0;0;0;0;0;0;0;0;4
Inventario Final;68;8;29;25;43;43;0;5;1;2;224
;;;;;;;;;;;
INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
F  I  N  C  A       LAS     G  U  A  Y  A  B  A  S;;;;;;;;;;;
Inventario Inicial;2;0;0;0;2;0;0;0;0;0;4
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;0;0;0;0;0;0;0;0;0;0;0
Entradas;0;0;0;0;0;0;0;0;0;0;0
Ventas;0;0;0;0;0;0;0;0;0;0;0
Muertes;0;0;0;0;0;0;0;0;0;0;0
Salidas;0;0;0;0;0;0;0;0;0;0;0
Inventario Final;2;0;0;0;2;0;0;0;0;0;4
;;;;;;;;;;;
INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
F  I  N  C  A      LOS       C  A  B  O  N  A  L  E  S;;;;;;;;;;;
Inventario Inicial;126;54;56;54;72;140;0;26;3;4;535
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;5;0;0;4;1;0;0;0;0;0;10
Entradas;0;2;0;0;0;0;0;0;0;0;2
Ventas;0;0;0;0;0;4;0;0;0;0;4
Muertes;0;0;1;0;0;0;0;0;0;0;1
Salidas;0;5;0;0;0;0;0;0;0;0;5
Inventario Final;131;51;55;58;73;136;0;26;3;4;537
;;;;;;;;;;;
INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
F  I  N  C  A       LOS      C  H  A  G  U  I  T  E  S;;;;;;;;;;;
Inventario Inicial;12;2;0;5;6;1;12;1;0;4;43
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;0;0;0;0;0;0;0;0;0;0;0
Entradas;0;0;0;0;1;0;4;0;0;0;5
Ventas;0;0;0;0;0;0;0;0;0;0;0
